PrimaryKey,Index Value
1423.0,159723
1424.0,159824
1425.0,159946
1426.0,160111
1427.0,160219
1428.0,160319
1429.0,160422
1430.0,160515
1431.0,160642
1432.0,160745
1433.0,160850
1434.0,160974
1435.0,161070
1436.0,161157
1437.0,161271
1438.0,161387
1439.0,161513
1440.0,161626
1441.0,161743
1442.0,161848
1443.0,161943
1444.0,162080
1445.0,162229
1446.0,162314
1447.0,162432
1448.0,162565
1449.0,162674
1450.0,162772
1451.0,162877
1452.0,162974
1453.0,163099
1454.0,163226
1455.0,163325
1456.0,163418
1457.0,163524
1458.0,163659
1459.0,163779
1460.0,163917
1461.0,164036
1462.0,164142
1463.0,164240
1464.0,164378
1465.0,164499
1466.0,164597
1467.0,164692
1468.0,164810
1469.0,164960
1470.0,165088
1471.0,165193
1472.0,165284
1473.0,165368
1474.0,165495
1475.0,165639
1476.0,165743
1477.0,165851
1478.0,165954
1479.0,166041
1480.0,166157
1481.0,166280
1482.0,166383
1483.0,166489
1484.0,166587
1485.0,166701
1486.0,166802
1487.0,166895
1488.0,167017
1489.0,167126
1490.0,167227
1491.0,167325
1492.0,167468
1493.0,167614
1494.0,167714
1495.0,167821
1496.0,167959
1497.0,168060
1498.0,168160
1499.0,168268
1500.0,168365
1501.0,168506
1502.0,168615
1503.0,168736
1504.0,168836
1505.0,168941
1506.0,169055
1507.0,169206
1508.0,169294
1509.0,169401
1510.0,169509
1511.0,169674
1512.0,169770
1513.0,169901
1514.0,170011
1515.0,170126
1516.0,170218
1517.0,170310
1518.0,170432
1519.0,170532
1520.0,170642
1521.0,170761
1522.0,170862
1523.0,170952
1524.0,171069
1525.0,171158
1526.0,171288
1527.0,171391
1528.0,171540
1529.0,171644
1530.0,171781
1531.0,171872
1532.0,171979
1533.0,172092
1534.0,172178
1535.0,172300
1536.0,172402
1537.0,172509
1538.0,172628
1539.0,172730
1540.0,172865
1541.0,172981
1542.0,173107
1543.0,173227
1544.0,173324
1545.0,173477
1546.0,173605
1547.0,173707
1548.0,173799
1549.0,173905
1550.0,174036
1551.0,174155
1552.0,174275
1553.0,174386
1554.0,174511
1555.0,174621
1556.0,174739
1557.0,174852
1558.0,174953
1559.0,175070
1560.0,175218
1561.0,175308
1562.0,175439
1563.0,175549
1564.0,175653
1565.0,175789
1566.0,175889
1567.0,175994
1568.0,176124
1569.0,176218
